stage,matches_executed_project,avg_attendance_executed,assumed_ticket_price_usd,median_proxy_revenue_usd,matches_2026_allocation,tournament_proxy_revenue_usd
Group,622,43025,120,4700000,77.0,361900000.0
Early knockout,9,16120,145,2000000,,
Round of 16,63,51593,175,8100000,16.0,129600000.0
Quarter-finals,62,44544,250,10500000,7.0,73500000.0
Semi-finals,34,58956,350,21400000,2.0,42800000.0
Third place,18,52569,210,10900000,1.0,10900000.0
Final,19,76470,450,33100000,1.0,33100000.0
