key,team_a,team_b,city,matchday,revenue_usd_m
Haiti|South Africa|Mexico City|2,Haiti,South Africa,Mexico City,2,8.2795
Curacao|South Africa|Mexico City|2,Curacao,South Africa,Mexico City,2,8.2024
New Zealand|South Africa|Mexico City|2,New Zealand,South Africa,Mexico City,2,8.1706
Colombia|Uzbekistan|Mexico City|3,Colombia,Uzbekistan,Mexico City,3,8.0573
Colombia|Qatar|Mexico City|3,Colombia,Qatar,Mexico City,3,8.0573
Colombia|Saudi Arabia|Mexico City|3,Colombia,Saudi Arabia,Mexico City,3,8.0573
Jordan|South Africa|Mexico City|2,Jordan,South Africa,Mexico City,2,8.0375
Ghana|Saudi Arabia|Mexico City|2,Ghana,Saudi Arabia,Mexico City,2,8.025
New Zealand|Saudi Arabia|Mexico City|2,New Zealand,Saudi Arabia,Mexico City,2,8.0163
Colombia|Tunisia|Mexico City|3,Colombia,Tunisia,Mexico City,3,8.0119
Colombia|Cote d'Ivoire|Mexico City|3,Colombia,Cote d'Ivoire,Mexico City,3,8.0119
Curacao|Saudi Arabia|Mexico City|2,Curacao,Saudi Arabia,Mexico City,2,8.0029
Haiti|Saudi Arabia|Mexico City|2,Haiti,Saudi Arabia,Mexico City,2,8.0029
Croatia|Uzbekistan|Mexico City|3,Croatia,Uzbekistan,Mexico City,3,7.9993
Morocco|Uzbekistan|Mexico City|3,Morocco,Uzbekistan,Mexico City,3,7.9993
Croatia|Qatar|Mexico City|3,Croatia,Qatar,Mexico City,3,7.9993
Morocco|Qatar|Mexico City|3,Morocco,Qatar,Mexico City,3,7.9993
Qatar|Switzerland|Mexico City|3,Qatar,Switzerland,Mexico City,3,7.9993
Croatia|Saudi Arabia|Mexico City|3,Croatia,Saudi Arabia,Mexico City,3,7.9993
Morocco|Saudi Arabia|Mexico City|3,Morocco,Saudi Arabia,Mexico City,3,7.9993
Saudi Arabia|Switzerland|Mexico City|3,Saudi Arabia,Switzerland,Mexico City,3,7.9993
Croatia|Tunisia|Mexico City|3,Croatia,Tunisia,Mexico City,3,7.9781
Cote d'Ivoire|Croatia|Mexico City|3,Cote d'Ivoire,Croatia,Mexico City,3,7.9781
Qatar|Uruguay|Mexico City|3,Qatar,Uruguay,Mexico City,3,7.9764
Saudi Arabia|Uruguay|Mexico City|3,Saudi Arabia,Uruguay,Mexico City,3,7.9764
Switzerland|Uzbekistan|Mexico City|3,Switzerland,Uzbekistan,Mexico City,3,7.9751
Qatar|Senegal|Mexico City|3,Qatar,Senegal,Mexico City,3,7.9751
Saudi Arabia|Senegal|Mexico City|3,Saudi Arabia,Senegal,Mexico City,3,7.9751
Algeria|Colombia|Mexico City|3,Algeria,Colombia,Mexico City,3,7.9746
Colombia|Scotland|Mexico City|3,Colombia,Scotland,Mexico City,3,7.9746
Ghana|Qatar|Mexico City|2,Ghana,Qatar,Mexico City,2,7.9732
Algeria|Japan|Mexico City|3,Algeria,Japan,Mexico City,3,7.9702
Haiti|Qatar|Mexico City|2,Haiti,Qatar,Mexico City,2,7.9646
New Zealand|Qatar|Mexico City|2,New Zealand,Qatar,Mexico City,2,7.9646
Colombia|Egypt|Mexico City|3,Colombia,Egypt,Mexico City,3,7.9611
Croatia|Egypt|Mexico City|3,Croatia,Egypt,Mexico City,3,7.954
Algeria|Croatia|Mexico City|3,Algeria,Croatia,Mexico City,3,7.954
Croatia|Scotland|Mexico City|3,Croatia,Scotland,Mexico City,3,7.954
Cote d'Ivoire|Switzerland|Mexico City|3,Cote d'Ivoire,Switzerland,Mexico City,3,7.954
Uruguay|Uzbekistan|Mexico City|3,Uruguay,Uzbekistan,Mexico City,3,7.9523
Curacao|Qatar|Mexico City|2,Curacao,Qatar,Mexico City,2,7.9511
Colombia|Panama|Mexico City|3,Colombia,Panama,Mexico City,3,7.9439
Senegal|Uzbekistan|Mexico City|3,Senegal,Uzbekistan,Mexico City,3,7.9378
Ecuador|Saudi Arabia|Mexico City|3,Ecuador,Saudi Arabia,Mexico City,3,7.9378
Cote d'Ivoire|Uruguay|Mexico City|3,Cote d'Ivoire,Uruguay,Mexico City,3,7.9311
Mexico|Saudi Arabia|Mexico City|1,Mexico,Saudi Arabia,Mexico City,1,7.9257
Ecuador|Uzbekistan|Mexico City|3,Ecuador,Uzbekistan,Mexico City,3,7.9243
Ecuador|Qatar|Mexico City|3,Ecuador,Qatar,Mexico City,3,7.9243
Cabo Verde|Qatar|Mexico City|2,Cabo Verde,Qatar,Mexico City,2,7.9231
Morocco|Scotland|Mexico City|3,Morocco,Scotland,Mexico City,3,7.9166
Switzerland|Tunisia|Mexico City|3,Switzerland,Tunisia,Mexico City,3,7.9166
Japan|Tunisia|Mexico City|3,Japan,Tunisia,Mexico City,3,7.9166
Cote d'Ivoire|Japan|Mexico City|3,Cote d'Ivoire,Japan,Mexico City,3,7.9166
Mexico|Uzbekistan|Mexico City|1,Mexico,Uzbekistan,Mexico City,1,7.9122
Mexico|Qatar|Mexico City|1,Mexico,Qatar,Mexico City,1,7.9122
Austria|Qatar|Mexico City|3,Austria,Qatar,Mexico City,3,7.9098
Austria|Saudi Arabia|Mexico City|3,Austria,Saudi Arabia,Mexico City,3,7.9098
IC Playoff 1|South Africa|Mexico City|2,IC Playoff 1,South Africa,Mexico City,2,7.908
IC Playoff 2|South Africa|Mexico City|2,IC Playoff 2,South Africa,Mexico City,2,7.908
Egypt|Switzerland|Mexico City|3,Egypt,Switzerland,Mexico City,3,7.9032
Algeria|Switzerland|Mexico City|3,Algeria,Switzerland,Mexico City,3,7.9032
Scotland|Switzerland|Mexico City|3,Scotland,Switzerland,Mexico City,3,7.9032
Japan|Scotland|Mexico City|3,Japan,Scotland,Mexico City,3,7.9032
Croatia|Panama|Mexico City|3,Croatia,Panama,Mexico City,3,7.8993
Tunisia|Uruguay|Mexico City|3,Tunisia,Uruguay,Mexico City,3,7.8937
Morocco|Panama|Mexico City|3,Morocco,Panama,Mexico City,3,7.8859
Colombia|Norway|Mexico City|3,Colombia,Norway,Mexico City,3,7.8856
UEFA Playoff A|Uzbekistan|Mexico City|2,UEFA Playoff A,Uzbekistan,Mexico City,2,7.8845
UEFA Playoff B|Uzbekistan|Mexico City|2,UEFA Playoff B,Uzbekistan,Mexico City,2,7.8845
UEFA Playoff C|Uzbekistan|Mexico City|2,UEFA Playoff C,Uzbekistan,Mexico City,2,7.8845
UEFA Playoff D|Uzbekistan|Mexico City|2,UEFA Playoff D,Uzbekistan,Mexico City,2,7.8845
Qatar|UEFA Playoff A|Mexico City|2,Qatar,UEFA Playoff A,Mexico City,2,7.8845
Qatar|UEFA Playoff B|Mexico City|2,Qatar,UEFA Playoff B,Mexico City,2,7.8845
Qatar|UEFA Playoff C|Mexico City|2,Qatar,UEFA Playoff C,Mexico City,2,7.8845
Qatar|UEFA Playoff D|Mexico City|2,Qatar,UEFA Playoff D,Mexico City,2,7.8845
Egypt|Uruguay|Mexico City|3,Egypt,Uruguay,Mexico City,3,7.8803
Algeria|Uruguay|Mexico City|3,Algeria,Uruguay,Mexico City,3,7.8803
Scotland|Uruguay|Mexico City|3,Scotland,Uruguay,Mexico City,3,7.8803
Austria|Uzbekistan|Mexico City|3,Austria,Uzbekistan,Mexico City,3,7.872
Cabo Verde|Saudi Arabia|Mexico City|2,Cabo Verde,Saudi Arabia,Mexico City,2,7.8699
Croatia|Paraguay|Mexico City|3,Croatia,Paraguay,Mexico City,3,7.8694
Saudi Arabia|UEFA Playoff A|Mexico City|2,Saudi Arabia,UEFA Playoff A,Mexico City,2,7.8692
Saudi Arabia|UEFA Playoff B|Mexico City|2,Saudi Arabia,UEFA Playoff B,Mexico City,2,7.8692
Saudi Arabia|UEFA Playoff C|Mexico City|2,Saudi Arabia,UEFA Playoff C,Mexico City,2,7.8692
Saudi Arabia|UEFA Playoff D|Mexico City|2,Saudi Arabia,UEFA Playoff D,Mexico City,2,7.8692
IC Playoff 1|Saudi Arabia|Mexico City|2,IC Playoff 1,Saudi Arabia,Mexico City,2,7.8656
IC Playoff 2|Saudi Arabia|Mexico City|2,IC Playoff 2,Saudi Arabia,Mexico City,2,7.8656
Egypt|Japan|Mexico City|3,Egypt,Japan,Mexico City,3,7.8633
Scotland|Senegal|Mexico City|3,Scotland,Senegal,Mexico City,3,7.8633
IR Iran|Tunisia|Mexico City|3,IR Iran,Tunisia,Mexico City,3,7.8633
Korea Republic|Tunisia|Mexico City|3,Korea Republic,Tunisia,Mexico City,3,7.8633
Ecuador|Tunisia|Mexico City|3,Ecuador,Tunisia,Mexico City,3,7.8633
Cote d'Ivoire|Ecuador|Mexico City|3,Cote d'Ivoire,Ecuador,Mexico City,3,7.8633
Austria|Cote d'Ivoire|Mexico City|3,Austria,Cote d'Ivoire,Mexico City,3,7.8487
Cote d'Ivoire|IR Iran|Mexico City|3,Cote d'Ivoire,IR Iran,Mexico City,3,7.848
Cote d'Ivoire|Korea Republic|Mexico City|3,Cote d'Ivoire,Korea Republic,Mexico City,3,7.848
Croatia|Norway|Mexico City|3,Croatia,Norway,Mexico City,3,7.846
Japan|Panama|Mexico City|3,Japan,Panama,Mexico City,3,7.846
Morocco|Paraguay|Mexico City|3,Morocco,Paraguay,Mexico City,3,7.8452
Algeria|IR Iran|Mexico City|3,Algeria,IR Iran,Mexico City,3,7.8449
Algeria|Korea Republic|Mexico City|3,Algeria,Korea Republic,Mexico City,3,7.8449
IR Iran|Scotland|Mexico City|3,IR Iran,Scotland,Mexico City,3,7.8449
Korea Republic|Scotland|Mexico City|3,Korea Republic,Scotland,Mexico City,3,7.8449
Australia|Cote d'Ivoire|Mexico City|3,Australia,Cote d'Ivoire,Mexico City,3,7.8449
Mexico|Tunisia|Mexico City|1,Mexico,Tunisia,Mexico City,1,7.8389
Cote d'Ivoire|Mexico|Mexico City|1,Cote d'Ivoire,Mexico,Mexico City,1,7.8389
Panama|Switzerland|Mexico City|3,Panama,Switzerland,Mexico City,3,7.8307
Austria|Tunisia|Mexico City|3,Austria,Tunisia,Mexico City,3,7.8303
Morocco|Norway|Mexico City|3,Morocco,Norway,Mexico City,3,7.8276
Panama|Senegal|Mexico City|3,Panama,Senegal,Mexico City,3,7.8276
Croatia|UEFA Playoff A|Mexico City|1,Croatia,UEFA Playoff A,Mexico City,1,7.8216
Croatia|UEFA Playoff B|Mexico City|1,Croatia,UEFA Playoff B,Mexico City,1,7.8216
Croatia|UEFA Playoff C|Mexico City|1,Croatia,UEFA Playoff C,Mexico City,1,7.8216
Croatia|UEFA Playoff D|Mexico City|1,Croatia,UEFA Playoff D,Mexico City,1,7.8216
Mexico|Scotland|Mexico City|1,Mexico,Scotland,Mexico City,1,7.8205
IC Playoff 1|Qatar|Mexico City|2,IC Playoff 1,Qatar,Mexico City,2,7.8198
IC Playoff 2|Qatar|Mexico City|2,IC Playoff 2,Qatar,Mexico City,2,7.8198
Colombia|UEFA Playoff A|Mexico City|1,Colombia,UEFA Playoff A,Mexico City,1,7.8082
Colombia|UEFA Playoff B|Mexico City|1,Colombia,UEFA Playoff B,Mexico City,1,7.8082
Colombia|UEFA Playoff C|Mexico City|1,Colombia,UEFA Playoff C,Mexico City,1,7.8082
Colombia|UEFA Playoff D|Mexico City|1,Colombia,UEFA Playoff D,Mexico City,1,7.8082
Panama|Uruguay|Mexico City|3,Panama,Uruguay,Mexico City,3,7.8079
Paraguay|Switzerland|Mexico City|3,Paraguay,Switzerland,Mexico City,3,7.8079
Morocco|UEFA Playoff A|Mexico City|1,Morocco,UEFA Playoff A,Mexico City,1,7.8032
Morocco|UEFA Playoff B|Mexico City|1,Morocco,UEFA Playoff B,Mexico City,1,7.8032
Morocco|UEFA Playoff C|Mexico City|1,Morocco,UEFA Playoff C,Mexico City,1,7.8032
Morocco|UEFA Playoff D|Mexico City|1,Morocco,UEFA Playoff D,Mexico City,1,7.8032
Japan|Paraguay|Mexico City|3,Japan,Paraguay,Mexico City,3,7.7944
Algeria|UEFA Playoff A|Mexico City|2,Algeria,UEFA Playoff A,Mexico City,2,7.7919
Algeria|UEFA Playoff B|Mexico City|2,Algeria,UEFA Playoff B,Mexico City,2,7.7919
Algeria|UEFA Playoff C|Mexico City|2,Algeria,UEFA Playoff C,Mexico City,2,7.7919
Algeria|UEFA Playoff D|Mexico City|2,Algeria,UEFA Playoff D,Mexico City,2,7.7919
Scotland|UEFA Playoff A|Mexico City|2,Scotland,UEFA Playoff A,Mexico City,2,7.7919
Scotland|UEFA Playoff B|Mexico City|2,Scotland,UEFA Playoff B,Mexico City,2,7.7919
Scotland|UEFA Playoff C|Mexico City|2,Scotland,UEFA Playoff C,Mexico City,2,7.7919
Scotland|UEFA Playoff D|Mexico City|2,Scotland,UEFA Playoff D,Mexico City,2,7.7919
Tunisia|UEFA Playoff A|Mexico City|2,Tunisia,UEFA Playoff A,Mexico City,2,7.7919
Tunisia|UEFA Playoff B|Mexico City|2,Tunisia,UEFA Playoff B,Mexico City,2,7.7919
Tunisia|UEFA Playoff C|Mexico City|2,Tunisia,UEFA Playoff C,Mexico City,2,7.7919
Tunisia|UEFA Playoff D|Mexico City|2,Tunisia,UEFA Playoff D,Mexico City,2,7.7919
Ecuador|Egypt|Mexico City|3,Ecuador,Egypt,Mexico City,3,7.7919
Australia|Egypt|Mexico City|3,Australia,Egypt,Mexico City,3,7.7919
Algeria|Ecuador|Mexico City|3,Algeria,Ecuador,Mexico City,3,7.7919
Algeria|Australia|Mexico City|3,Algeria,Australia,Mexico City,3,7.7919
Australia|Scotland|Mexico City|3,Australia,Scotland,Mexico City,3,7.7919
Colombia|Mexico|Mexico City|2,Colombia,Mexico,Mexico City,2,7.7887
Cote d'Ivoire|UEFA Playoff A|Mexico City|2,Cote d'Ivoire,UEFA Playoff A,Mexico City,2,7.7818
Cote d'Ivoire|UEFA Playoff B|Mexico City|2,Cote d'Ivoire,UEFA Playoff B,Mexico City,2,7.7818
Cote d'Ivoire|UEFA Playoff C|Mexico City|2,Cote d'Ivoire,UEFA Playoff C,Mexico City,2,7.7818
Cote d'Ivoire|UEFA Playoff D|Mexico City|2,Cote d'Ivoire,UEFA Playoff D,Mexico City,2,7.7818
Egypt|IR Iran|Mexico City|3,Egypt,IR Iran,Mexico City,3,7.7818
Egypt|Korea Republic|Mexico City|3,Egypt,Korea Republic,Mexico City,3,7.7818
Ecuador|Scotland|Mexico City|3,Ecuador,Scotland,Mexico City,3,7.7818
Australia|Tunisia|Mexico City|3,Australia,Tunisia,Mexico City,3,7.7818
Austria|Egypt|Mexico City|3,Austria,Egypt,Mexico City,3,7.7774
Algeria|Austria|Mexico City|3,Algeria,Austria,Mexico City,3,7.7774
Norway|Switzerland|Mexico City|3,Norway,Switzerland,Mexico City,3,7.7747
Japan|Norway|Mexico City|3,Japan,Norway,Mexico City,3,7.7747
IR Iran|Panama|Mexico City|3,IR Iran,Panama,Mexico City,3,7.7747
Korea Republic|Panama|Mexico City|3,Korea Republic,Panama,Mexico City,3,7.7747
Ecuador|Panama|Mexico City|3,Ecuador,Panama,Mexico City,3,7.7747
Australia|Panama|Mexico City|3,Australia,Panama,Mexico City,3,7.7688
Egypt|Mexico|Mexico City|1,Egypt,Mexico,Mexico City,1,7.7675
Austria|Scotland|Mexico City|3,Austria,Scotland,Mexico City,3,7.7672
Austria|Panama|Mexico City|3,Austria,Panama,Mexico City,3,7.7601
Algeria|Mexico|Mexico City|1,Algeria,Mexico,Mexico City,1,7.7573
IR Iran|Paraguay|Mexico City|3,IR Iran,Paraguay,Mexico City,3,7.7546
Korea Republic|Paraguay|Mexico City|3,Korea Republic,Paraguay,Mexico City,3,7.7546
Norway|Uruguay|Mexico City|3,Norway,Uruguay,Mexico City,3,7.7518
Switzerland|UEFA Playoff A|Mexico City|1,Switzerland,UEFA Playoff A,Mexico City,1,7.7502
Switzerland|UEFA Playoff B|Mexico City|1,Switzerland,UEFA Playoff B,Mexico City,1,7.7502
Switzerland|UEFA Playoff C|Mexico City|1,Switzerland,UEFA Playoff C,Mexico City,1,7.7502
Switzerland|UEFA Playoff D|Mexico City|1,Switzerland,UEFA Playoff D,Mexico City,1,7.7502
Japan|UEFA Playoff A|Mexico City|1,Japan,UEFA Playoff A,Mexico City,1,7.7502
Japan|UEFA Playoff B|Mexico City|1,Japan,UEFA Playoff B,Mexico City,1,7.7502
Japan|UEFA Playoff C|Mexico City|1,Japan,UEFA Playoff C,Mexico City,1,7.7502
Japan|UEFA Playoff D|Mexico City|1,Japan,UEFA Playoff D,Mexico City,1,7.7502
Mexico|UEFA Playoff A|Mexico City|3,Mexico,UEFA Playoff A,Mexico City,3,7.7451
Mexico|UEFA Playoff B|Mexico City|3,Mexico,UEFA Playoff B,Mexico City,3,7.7451
Mexico|UEFA Playoff C|Mexico City|3,Mexico,UEFA Playoff C,Mexico City,3,7.7451
Mexico|UEFA Playoff D|Mexico City|3,Mexico,UEFA Playoff D,Mexico City,3,7.7451
Egypt|UEFA Playoff A|Mexico City|2,Egypt,UEFA Playoff A,Mexico City,2,7.7398
Egypt|UEFA Playoff B|Mexico City|2,Egypt,UEFA Playoff B,Mexico City,2,7.7398
Egypt|UEFA Playoff C|Mexico City|2,Egypt,UEFA Playoff C,Mexico City,2,7.7398
Egypt|UEFA Playoff D|Mexico City|2,Egypt,UEFA Playoff D,Mexico City,2,7.7398
Paraguay|Senegal|Mexico City|3,Paraguay,Senegal,Mexico City,3,7.7393
Mexico|Morocco|Mexico City|2,Mexico,Morocco,Mexico City,2,7.7366
Ecuador|Mexico|Mexico City|2,Ecuador,Mexico,Mexico City,2,7.7316
Austria|Mexico|Mexico City|2,Austria,Mexico,Mexico City,2,7.7316
Australia|Mexico|Mexico City|2,Australia,Mexico,Mexico City,2,7.7316
Norway|UEFA Playoff A|Mexico City|2,Norway,UEFA Playoff A,Mexico City,2,7.7316
Norway|UEFA Playoff B|Mexico City|2,Norway,UEFA Playoff B,Mexico City,2,7.7316
Norway|UEFA Playoff C|Mexico City|2,Norway,UEFA Playoff C,Mexico City,2,7.7316
Norway|UEFA Playoff D|Mexico City|2,Norway,UEFA Playoff D,Mexico City,2,7.7316
Australia|Norway|Mexico City|3,Australia,Norway,Mexico City,3,7.7316
Mexico|Senegal|Mexico City|2,Mexico,Senegal,Mexico City,2,7.7309
IR Iran|Mexico|Mexico City|2,IR Iran,Mexico,Mexico City,2,7.7309
Korea Republic|Mexico|Mexico City|2,Korea Republic,Mexico,Mexico City,2,7.7309
Austria|Norway|Mexico City|3,Austria,Norway,Mexico City,3,7.7305
Mexico|Paraguay|Mexico City|1,Mexico,Paraguay,Mexico City,1,7.7301
UEFA Playoff A|Uruguay|Mexico City|1,UEFA Playoff A,Uruguay,Mexico City,1,7.7274
UEFA Playoff B|Uruguay|Mexico City|1,UEFA Playoff B,Uruguay,Mexico City,1,7.7274
UEFA Playoff C|Uruguay|Mexico City|1,UEFA Playoff C,Uruguay,Mexico City,1,7.7274
UEFA Playoff D|Uruguay|Mexico City|1,UEFA Playoff D,Uruguay,Mexico City,1,7.7274
Croatia|Mexico|Mexico City|2,Croatia,Mexico,Mexico City,2,7.7265
Panama|UEFA Playoff A|Mexico City|2,Panama,UEFA Playoff A,Mexico City,2,7.7226
Panama|UEFA Playoff B|Mexico City|2,Panama,UEFA Playoff B,Mexico City,2,7.7226
Panama|UEFA Playoff C|Mexico City|2,Panama,UEFA Playoff C,Mexico City,2,7.7226
Panama|UEFA Playoff D|Mexico City|2,Panama,UEFA Playoff D,Mexico City,2,7.7226
Norway|Senegal|Mexico City|3,Norway,Senegal,Mexico City,3,7.7226
Ghana|Uzbekistan|Mexico City|2,Ghana,Uzbekistan,Mexico City,2,7.7218
Austria|Paraguay|Mexico City|3,Austria,Paraguay,Mexico City,3,7.7216
IR Iran|Norway|Mexico City|3,IR Iran,Norway,Mexico City,3,7.713
Korea Republic|Norway|Mexico City|3,Korea Republic,Norway,Mexico City,3,7.713
Ecuador|Norway|Mexico City|3,Ecuador,Norway,Mexico City,3,7.713
Japan|Mexico|Mexico City|2,Japan,Mexico,Mexico City,2,7.7122
Ecuador|UEFA Playoff A|Mexico City|1,Ecuador,UEFA Playoff A,Mexico City,1,7.7072
Ecuador|UEFA Playoff B|Mexico City|1,Ecuador,UEFA Playoff B,Mexico City,1,7.7072
Ecuador|UEFA Playoff C|Mexico City|1,Ecuador,UEFA Playoff C,Mexico City,1,7.7072
Ecuador|UEFA Playoff D|Mexico City|1,Ecuador,UEFA Playoff D,Mexico City,1,7.7072
Australia|UEFA Playoff A|Mexico City|1,Australia,UEFA Playoff A,Mexico City,1,7.7072
Australia|UEFA Playoff B|Mexico City|1,Australia,UEFA Playoff B,Mexico City,1,7.7072
Australia|UEFA Playoff C|Mexico City|1,Australia,UEFA Playoff C,Mexico City,1,7.7072
Australia|UEFA Playoff D|Mexico City|1,Australia,UEFA Playoff D,Mexico City,1,7.7072
New Zealand|Uzbekistan|Mexico City|2,New Zealand,Uzbekistan,Mexico City,2,7.7004
Senegal|UEFA Playoff A|Mexico City|1,Senegal,UEFA Playoff A,Mexico City,1,7.6981
Senegal|UEFA Playoff B|Mexico City|1,Senegal,UEFA Playoff B,Mexico City,1,7.6981
Senegal|UEFA Playoff C|Mexico City|1,Senegal,UEFA Playoff C,Mexico City,1,7.6981
Senegal|UEFA Playoff D|Mexico City|1,Senegal,UEFA Playoff D,Mexico City,1,7.6981
Curacao|Uzbekistan|Mexico City|2,Curacao,Uzbekistan,Mexico City,2,7.6947
Haiti|Uzbekistan|Mexico City|2,Haiti,Uzbekistan,Mexico City,2,7.6947
Austria|UEFA Playoff A|Mexico City|1,Austria,UEFA Playoff A,Mexico City,1,7.6926
Austria|UEFA Playoff B|Mexico City|1,Austria,UEFA Playoff B,Mexico City,1,7.6926
Austria|UEFA Playoff C|Mexico City|1,Austria,UEFA Playoff C,Mexico City,1,7.6926
Austria|UEFA Playoff D|Mexico City|1,Austria,UEFA Playoff D,Mexico City,1,7.6926
Mexico|Norway|Mexico City|1,Mexico,Norway,Mexico City,1,7.6885
IR Iran|UEFA Playoff A|Mexico City|1,IR Iran,UEFA Playoff A,Mexico City,1,7.6885
IR Iran|UEFA Playoff B|Mexico City|1,IR Iran,UEFA Playoff B,Mexico City,1,7.6885
IR Iran|UEFA Playoff C|Mexico City|1,IR Iran,UEFA Playoff C,Mexico City,1,7.6885
IR Iran|UEFA Playoff D|Mexico City|1,IR Iran,UEFA Playoff D,Mexico City,1,7.6885
Korea Republic|UEFA Playoff A|Mexico City|1,Korea Republic,UEFA Playoff A,Mexico City,1,7.6885
Korea Republic|UEFA Playoff B|Mexico City|1,Korea Republic,UEFA Playoff B,Mexico City,1,7.6885
Korea Republic|UEFA Playoff C|Mexico City|1,Korea Republic,UEFA Playoff C,Mexico City,1,7.6885
Korea Republic|UEFA Playoff D|Mexico City|1,Korea Republic,UEFA Playoff D,Mexico City,1,7.6885
Mexico|Switzerland|Mexico City|2,Mexico,Switzerland,Mexico City,2,7.6845
Paraguay|UEFA Playoff A|Mexico City|2,Paraguay,UEFA Playoff A,Mexico City,2,7.6832
Paraguay|UEFA Playoff B|Mexico City|2,Paraguay,UEFA Playoff B,Mexico City,2,7.6832
Paraguay|UEFA Playoff C|Mexico City|2,Paraguay,UEFA Playoff C,Mexico City,2,7.6832
Paraguay|UEFA Playoff D|Mexico City|2,Paraguay,UEFA Playoff D,Mexico City,2,7.6832
Colombia|South Africa|Mexico City|3,Colombia,South Africa,Mexico City,3,7.68
Australia|Paraguay|Mexico City|3,Australia,Paraguay,Mexico City,3,7.673
Mexico|Uruguay|Mexico City|2,Mexico,Uruguay,Mexico City,2,7.6617
Cabo Verde|Uzbekistan|Mexico City|2,Cabo Verde,Uzbekistan,Mexico City,2,7.6533
Croatia|South Africa|Mexico City|3,Croatia,South Africa,Mexico City,3,7.6221
South Africa|Switzerland|Mexico City|3,South Africa,Switzerland,Mexico City,3,7.6221
Japan|South Africa|Mexico City|3,Japan,South Africa,Mexico City,3,7.6221
South Africa|Uruguay|Mexico City|3,South Africa,Uruguay,Mexico City,3,7.5992
IR Iran|South Africa|Mexico City|3,IR Iran,South Africa,Mexico City,3,7.5979
Korea Republic|South Africa|Mexico City|3,Korea Republic,South Africa,Mexico City,3,7.5979
Ecuador|South Africa|Mexico City|3,Ecuador,South Africa,Mexico City,3,7.5979
Mexico|South Africa|Mexico City|1,Mexico,South Africa,Mexico City,1,7.5622
Australia|South Africa|Mexico City|3,Australia,South Africa,Mexico City,3,7.5606
Colombia|Ghana|Mexico City|1,Colombia,Ghana,Mexico City,1,7.5592
Colombia|Curacao|Mexico City|1,Colombia,Curacao,Mexico City,1,7.5592
Colombia|Haiti|Mexico City|1,Colombia,Haiti,Mexico City,1,7.5592
Colombia|New Zealand|Mexico City|1,Colombia,New Zealand,Mexico City,1,7.5592
Cote d'Ivoire|New Zealand|Mexico City|2,Cote d'Ivoire,New Zealand,Mexico City,2,7.5588
IC Playoff 1|Uzbekistan|Mexico City|2,IC Playoff 1,Uzbekistan,Mexico City,2,7.5499
IC Playoff 2|Uzbekistan|Mexico City|2,IC Playoff 2,Uzbekistan,Mexico City,2,7.5499
South Africa|UEFA Playoff A|Mexico City|2,South Africa,UEFA Playoff A,Mexico City,2,7.5471
South Africa|UEFA Playoff B|Mexico City|2,South Africa,UEFA Playoff B,Mexico City,2,7.5471
South Africa|UEFA Playoff C|Mexico City|2,South Africa,UEFA Playoff C,Mexico City,2,7.5471
South Africa|UEFA Playoff D|Mexico City|2,South Africa,UEFA Playoff D,Mexico City,2,7.5471
Austria|South Africa|Mexico City|3,Austria,South Africa,Mexico City,3,7.546
Austria|Ghana|Mexico City|1,Austria,Ghana,Mexico City,1,7.5386
Austria|Curacao|Mexico City|1,Austria,Curacao,Mexico City,1,7.5386
Austria|Haiti|Mexico City|1,Austria,Haiti,Mexico City,1,7.5386
Austria|New Zealand|Mexico City|1,Austria,New Zealand,Mexico City,1,7.5386
Croatia|Ghana|Mexico City|1,Croatia,Ghana,Mexico City,1,7.5012
Croatia|Curacao|Mexico City|1,Croatia,Curacao,Mexico City,1,7.5012
Croatia|Haiti|Mexico City|1,Croatia,Haiti,Mexico City,1,7.5012
Croatia|New Zealand|Mexico City|1,Croatia,New Zealand,Mexico City,1,7.5012
Curacao|Morocco|Mexico City|1,Curacao,Morocco,Mexico City,1,7.5012
Haiti|Morocco|Mexico City|1,Haiti,Morocco,Mexico City,1,7.5012
Morocco|New Zealand|Mexico City|1,Morocco,New Zealand,Mexico City,1,7.5012
Ghana|Switzerland|Mexico City|1,Ghana,Switzerland,Mexico City,1,7.5012
Curacao|Switzerland|Mexico City|1,Curacao,Switzerland,Mexico City,1,7.5012
Haiti|Switzerland|Mexico City|1,Haiti,Switzerland,Mexico City,1,7.5012
New Zealand|Switzerland|Mexico City|1,New Zealand,Switzerland,Mexico City,1,7.5012
Ghana|Japan|Mexico City|1,Ghana,Japan,Mexico City,1,7.5012
Curacao|Japan|Mexico City|1,Curacao,Japan,Mexico City,1,7.5012
Haiti|Japan|Mexico City|1,Haiti,Japan,Mexico City,1,7.5012
Japan|New Zealand|Mexico City|1,Japan,New Zealand,Mexico City,1,7.5012
Curacao|Senegal|Mexico City|1,Curacao,Senegal,Mexico City,1,7.5012
Haiti|Senegal|Mexico City|1,Haiti,Senegal,Mexico City,1,7.5012
New Zealand|Senegal|Mexico City|1,New Zealand,Senegal,Mexico City,1,7.5012
Ghana|IR Iran|Mexico City|1,Ghana,IR Iran,Mexico City,1,7.5012
Curacao|IR Iran|Mexico City|1,Curacao,IR Iran,Mexico City,1,7.5012
Haiti|IR Iran|Mexico City|1,Haiti,IR Iran,Mexico City,1,7.5012
IR Iran|New Zealand|Mexico City|1,IR Iran,New Zealand,Mexico City,1,7.5012
